Label,Timestamp,Value,Difference
YES,2024-03-11 09:48:00,241.95,
seven,2024-03-11 09:48:00,249.85,
seven,2024-03-11 09:49:00,255.7,
seven,2024-03-11 09:50:00,266.5,
seven,2024-03-11 09:51:00,264.0,
NO,2024-03-11 09:52:00,249.16,-7.210000000000008
RED,2024-03-11 09:53:00,248.14,
YES,2024-03-11 09:56:00,253.5,
seven,2024-03-11 09:59:00,263.75,
seven,2024-03-11 10:00:00,274.25,
seven,2024-03-11 10:01:00,271.3,
seven,2024-03-11 10:02:00,281.65,
seven,2024-03-11 10:03:00,278.7,
seven,2024-03-11 10:04:00,274.0,
NO,2024-03-11 10:05:00,265.24,-11.740000000000009
RED,2024-03-11 10:06:00,263.16,
YES,2024-03-11 10:11:00,269.6,
seven,2024-03-11 10:14:00,279.7,
seven,2024-03-11 10:15:00,283.1,
NO,2024-03-11 10:16:00,272.31,-2.7099999999999795
RED,2024-03-11 10:17:00,266.84,
YES,2024-03-11 10:23:00,248.4,
NO,2024-03-11 10:24:00,246.42,1.9800000000000182
RED,2024-03-11 10:25:00,242.74,
YES,2024-03-11 10:40:00,232.6,
seven,2024-03-11 10:42:00,241.8,
seven,2024-03-11 10:43:00,243.15,
seven,2024-03-11 10:44:00,248.55,
seven,2024-03-11 10:45:00,254.3,
seven,2024-03-11 10:46:00,257.75,
seven,2024-03-11 10:47:00,258.65,
seven,2024-03-11 10:48:00,259.55,
seven,2024-03-11 10:49:00,268.0,
seven,2024-03-11 10:50:00,267.9,
NO,2024-03-11 10:51:00,259.36,-26.76000000000002
RED,2024-03-11 10:52:00,257.09,
YES,2024-03-11 11:02:00,244.65,
NO,2024-03-11 11:04:00,244.89,-0.23999999999998067
RED,2024-03-11 11:05:00,243.48,
YES,2024-03-11 11:09:00,244.3,
NO,2024-03-11 11:10:00,241.58,2.719999999999999
YES,2024-03-11 11:12:00,245.55,
seven,2024-03-11 11:14:00,254.6,
seven,2024-03-11 11:15:00,253.65,
seven,2024-03-11 11:16:00,256.0,
seven,2024-03-11 11:17:00,258.0,
NO,2024-03-11 11:18:00,251.34,-5.789999999999992
RED,2024-03-11 11:19:00,247.58,
YES,2024-03-11 11:22:00,250.7,
seven,2024-03-11 11:22:00,259.9,
seven,2024-03-11 11:23:00,268.05,
seven,2024-03-11 11:24:00,290.1,
seven,2024-03-11 11:25:00,342.4,
seven,2024-03-11 11:26:00,347.05,
