Label,Timestamp,Value,Difference
YES,2024-03-04 10:08:00,261.2,
seven,2024-03-04 10:08:00,274.05,
NO,2024-03-04 10:10:00,256.99,4.2099999999999795
YES,2024-03-04 10:12:00,261.5,
NO,2024-03-04 10:14:00,259.73,1.7699999999999818
RED,2024-03-04 10:15:00,257.85,
YES,2024-03-04 10:21:00,249.55,
NO,2024-03-04 10:22:00,242.58,6.969999999999999
RED,2024-03-04 10:23:00,233.42,
YES,2024-03-04 10:37:00,224.5,
NO,2024-03-04 10:38:00,219.15,5.349999999999994
RED,2024-03-04 10:39:00,219.14,
YES,2024-03-04 10:45:00,222.4,
seven,2024-03-04 10:45:00,253.4,
NO,2024-03-04 11:01:00,323.4,-100.99999999999997
RED,2024-03-04 11:02:00,312.94,
YES,2024-03-04 11:05:00,356.5,
seven,2024-03-04 11:05:00,359.7,
NO,2024-03-04 11:06:00,330.15,26.350000000000023
RED,2024-03-04 11:07:00,329.88,
YES,2024-03-04 11:10:00,336.45,
seven,2024-03-04 11:10:00,338.95,
NO,2024-03-04 11:11:00,330.62,5.829999999999984
RED,2024-03-04 11:12:00,330.86,
YES,2024-03-04 11:19:00,304.4,
seven,2024-03-04 11:19:00,326.1,
NO,2024-03-04 11:23:00,305.39,-0.9900000000000091
RED,2024-03-04 11:24:00,296.06,
YES,2024-03-04 11:28:00,304.55,
seven,2024-03-04 11:28:00,310.8,
NO,2024-03-04 11:29:00,300.3,4.25
RED,2024-03-04 11:30:00,298.35,
YES,2024-03-04 11:34:00,298.4,
seven,2024-03-04 11:34:00,306.6,
NO,2024-03-04 11:37:00,305.21,-6.810000000000002
RED,2024-03-04 11:38:00,293.12,
YES,2024-03-04 11:41:00,298.6,
NO,2024-03-04 11:43:00,301.08,-2.4799999999999613
RED,2024-03-04 11:44:00,295.88,
YES,2024-03-04 11:52:00,299.5,
seven,2024-03-04 11:52:00,317.0,
NO,2024-03-04 11:56:00,310.86,-11.360000000000014
RED,2024-03-04 11:57:00,310.6,
YES,2024-03-04 11:59:00,317.5,
NO,2024-03-04 12:00:00,309.65,7.850000000000023
RED,2024-03-04 12:01:00,306.89,
YES,2024-03-04 12:06:00,305.8,
NO,2024-03-04 12:11:00,313.0,-7.199999999999989
YES,2024-03-04 12:13:00,314.95,
NO,2024-03-04 12:15:00,308.0,6.949999999999989
RED,2024-03-04 12:16:00,303.23,
YES,2024-03-04 12:21:00,295.0,
NO,2024-03-04 12:22:00,294.95,0.05000000000001137
YES,2024-03-04 12:24:00,299.5,
seven,2024-03-04 12:24:00,309.95,
NO,2024-03-04 12:27:00,298.59,0.910000000000025
RED,2024-03-04 12:28:00,288.89,
YES,2024-03-04 12:39:00,274.25,
seven,2024-03-04 12:39:00,284.15,
NO,2024-03-04 12:43:00,274.47,-0.22000000000002728
RED,2024-03-04 12:44:00,271.01,
YES,2024-03-04 12:48:00,277.75,
seven,2024-03-04 12:48:00,282.15,
NO,2024-03-04 12:57:00,301.14,-23.389999999999986
RED,2024-03-04 12:58:00,287.34,
YES,2024-03-04 13:03:00,275.4,
