Label,Timestamp,Value,Difference
NO,2023-12-07 09:50:00,246.175,13.474999999999966
RED,2023-12-07 09:55:00,238.02499999999998,
YES,2023-12-07 10:10:00,247.4,
NO,2023-12-07 10:20:00,239.5375,16.762500000000017
RED,2023-12-07 10:25:00,238.325,
YES,2023-12-07 11:25:00,156.7,
seven,2023-12-07 11:25:00,179.0,
NO,2023-12-07 11:35:00,168.5875,9.662499999999994
RED,2023-12-07 11:40:00,165.9375,
NO,2023-12-07 12:25:00,165.2,-0.5999999999999943
RED,2023-12-07 12:30:00,163.8,
NO,2023-12-07 12:55:00,155.125,-1.4749999999999943
NO,2023-12-07 13:10:00,156.96249999999998,2.5375000000000227
RED,2023-12-07 13:15:00,156.4875,
NO,2023-12-07 13:55:00,150.5125,-1.5124999999999886
RED,2023-12-07 14:00:00,144.11249999999998,
NO,2023-12-07 14:20:00,152.1125,2.5374999999999943
RED,2023-12-07 14:25:00,146.4875,
NO,2023-12-07 14:55:00,150.39999999999998,1.5000000000000284
NO,2023-12-07 15:10:00,157.3625,-0.762500000000017
RED,2023-12-07 15:15:00,155.625,
