Label,Timestamp,Value,Difference
YES,2024-03-04 10:03:00,329.65,
seven,2024-03-04 10:03:00,354.15,
NO,2024-03-04 10:08:00,352.92,-23.27000000000004
RED,2024-03-04 10:09:00,354.01,
YES,2024-03-04 10:15:00,357.85,
seven,2024-03-04 10:15:00,366.6,
NO,2024-03-04 10:20:00,360.15,-2.2999999999999545
RED,2024-03-04 10:21:00,355.72,
YES,2024-03-04 10:23:00,389.0,
seven,2024-03-04 10:23:00,398.85,
NO,2024-03-04 10:27:00,386.48,2.519999999999982
YES,2024-03-04 10:29:00,396.0,
seven,2024-03-04 10:29:00,398.3,
NO,2024-03-04 10:30:00,388.44,7.560000000000002
RED,2024-03-04 10:31:00,381.69,
YES,2024-03-04 10:33:00,393.7,
seven,2024-03-04 10:33:00,403.1,
NO,2024-03-04 10:36:00,389.85,3.849999999999966
RED,2024-03-04 10:37:00,385.44,
YES,2024-03-04 10:39:00,392.55,
NO,2024-03-04 10:41:00,393.36,-0.8100000000000023
RED,2024-03-04 10:42:00,392.12,
YES,2024-03-04 11:07:00,251.3,
NO,2024-03-04 11:09:00,251.96,-0.6599999999999966
RED,2024-03-04 11:10:00,249.42,
YES,2024-03-04 11:15:00,278.25,
seven,2024-03-04 11:15:00,303.6,
NO,2024-03-04 11:18:00,272.09,6.160000000000025
RED,2024-03-04 11:19:00,256.16,
YES,2024-03-04 11:23:00,259.5,
seven,2024-03-04 11:23:00,276.35,
NO,2024-03-04 11:26:00,271.31,-11.810000000000002
RED,2024-03-04 11:27:00,263.02,
YES,2024-03-04 11:30:00,269.5,
NO,2024-03-04 11:33:00,263.48,6.019999999999982
RED,2024-03-04 11:34:00,264.09,
YES,2024-03-04 11:38:00,269.9,
seven,2024-03-04 11:38:00,274.15,
NO,2024-03-04 11:40:00,264.11,5.789999999999964
YES,2024-03-04 11:44:00,265.85,
seven,2024-03-04 11:44:00,270.9,
NO,2024-03-04 11:46:00,264.5,1.3500000000000227
YES,2024-03-04 11:50:00,269.0,
seven,2024-03-04 11:50:00,282.0,
NO,2024-03-04 11:51:00,268.52,0.4800000000000182
RED,2024-03-04 11:52:00,260.53,
YES,2024-03-04 11:56:00,258.05,
NO,2024-03-04 11:58:00,256.25,1.8000000000000114
RED,2024-03-04 11:59:00,255.71,
YES,2024-03-04 12:01:00,262.6,
seven,2024-03-04 12:01:00,266.8,
NO,2024-03-04 12:04:00,261.89,0.7100000000000364
RED,2024-03-04 12:05:00,258.01,
YES,2024-03-04 12:16:00,253.8,
NO,2024-03-04 12:23:00,264.64,-10.839999999999975
RED,2024-03-04 12:24:00,255.23,
YES,2024-03-04 12:28:00,263.1,
seven,2024-03-04 12:28:00,276.2,
NO,2024-03-04 12:38:00,277.44,-14.339999999999975
RED,2024-03-04 12:39:00,273.29,
YES,2024-03-04 12:44:00,272.45,
seven,2024-03-04 12:44:00,274.7,
NO,2024-03-04 12:47:00,265.1,7.349999999999966
RED,2024-03-04 12:48:00,259.02,
