Label,Timestamp,Value,Difference
YES,2024-02-26 10:15:00,427.7,
seven,2024-02-26 10:15:00,443.2,
seven,2024-02-26 10:15:00,443.2,
NO,2024-02-26 10:25:00,415.19,10.20999999999998
RED,2024-02-26 10:30:00,413.75,
YES,2024-02-26 11:45:00,405.0,
NO,2024-02-26 11:50:00,377.78,27.220000000000027
RED,2024-02-26 11:55:00,367.52,
YES,2024-02-26 12:40:00,388.3,
NO,2024-02-26 12:45:00,372.66,15.639999999999986
YES,2024-02-26 12:55:00,392.8,
seven,2024-02-26 12:55:00,425.45,
seven,2024-02-26 12:55:00,425.45,
NO,2024-02-26 13:20:00,441.52,26.180000000000007
RED,2024-02-26 13:25:00,441.88,
YES,2024-02-26 13:50:00,433.5,
NO,2024-02-26 14:40:00,396.83,31.170000000000016
RED,2024-02-26 14:55:00,356.15,
YES,2024-02-28 10:10:00,256.4,
seven,2024-02-28 10:10:00,278.75,
seven,2024-02-28 10:10:00,278.75,
NO,2024-02-28 10:30:00,245.31,32.54000000000002
RED,2024-02-28 10:35:00,223.92,
YES,2024-02-28 11:50:00,96.5,
NO,2024-02-28 11:40:00,93.21,9.090000000000003
RED,2024-02-28 11:45:00,90.45,
YES,2024-02-28 12:15:00,92.15,
NO,2024-02-28 12:25:00,87.04,6.759999999999991
RED,2024-02-28 12:30:00,85.6,
YES,2024-02-28 13:25:00,67.55,
NO,2024-02-28 13:45:00,75.38,5.670000000000002
YES,2024-02-28 13:55:00,78.95,
NO,2024-02-28 14:15:00,73.96,6.840000000000003
RED,2024-02-28 14:20:00,68.4,
