Label,Timestamp,Value,Difference
YES,2024-02-27 10:45:00,272.95,
NO,2024-02-27 11:10:00,278.08,18.170000000000016
RED,2024-02-27 11:15:00,265.54,
YES,2024-02-27 11:25:00,298.45,
NO,2024-02-27 11:40:00,286.79,9.810000000000002
RED,2024-02-27 11:45:00,278.62,
YES,2024-02-27 12:45:00,271.4,
NO,2024-02-27 13:05:00,313.71,32.94
YES,2024-02-27 13:15:00,370.1,
NO,2024-02-27 13:25:00,353.61,37.94
YES,2024-02-27 14:05:00,293.85,
NO,2024-02-27 13:40:00,345.25,18.94999999999999
RED,2024-02-27 13:45:00,319.5,
YES,2024-02-27 14:15:00,328.8,
NO,2024-02-27 14:20:00,312.31,16.49000000000001
RED,2024-02-27 14:25:00,299.34,
YES,2024-02-27 14:40:00,319.75,
NO,2024-02-27 14:45:00,311.92,7.829999999999984
RED,2024-02-27 14:50:00,297.31,
