Label,Timestamp,Value,Difference
NA,2023-12-08 13:35:00,246.1375,246.1375
NO,2023-12-08 13:40:00,224.2625,-14.4375
NA,2023-12-08 13:45:00,220.72500000000002,-17.974999999999966
YES,2023-12-08 13:50:00,229.825,-8.875
NO,2023-12-08 13:55:00,228.1375,-6.712500000000006
YES,2023-12-08 14:00:00,233.3125,-1.5374999999999943
NA,2023-12-08 14:05:00,248.025,13.175000000000011
NA,2023-12-08 14:10:00,249.4625,14.612500000000011
NO,2023-12-08 14:15:00,247.3,-9.649999999999977
NA,2023-12-08 14:20:00,239.95,-17.0
YES,2023-12-08 14:25:00,244.7,-12.25
NO,2023-12-08 14:30:00,242.71249999999998,-7.987500000000011
YES,2023-12-08 14:35:00,260.325,9.625
NA,2023-12-08 14:40:00,284.20000000000005,33.50000000000006
NA,2023-12-08 14:45:00,322.4375,71.73750000000001
NA,2023-12-08 14:50:00,359.6375,108.9375
NA,2023-12-08 14:55:00,364.625,113.92500000000001
NA,2023-12-08 15:00:00,411.92499999999995,161.22499999999997
NA,2023-12-08 15:05:00,460.5,209.8
NO,2023-12-08 15:10:00,455.9375,-18.662500000000023
NA,2023-12-08 15:15:00,456.825,-17.775000000000034
YES,2023-12-08 15:20:00,470.475,-4.125
NA,2023-12-08 15:25:00,498.48749999999995,23.887499999999932
NA,2023-12-08 15:30:00,520.0,45.39999999999998
